"study_id" "summary" "method" "group" "p_val" "effsize" "category" "interest"
11815 "bat" "TSS" "host_sex" 0.786888145836718 -0.00213573472255035 "demographics" FALSE
11815 "bat" "GMPR" "host_sex" 0.59674466852928 -0.00165913891600441 "demographics" FALSE
11815 "bat" "CSS" "host_sex" 0.776182441876194 -0.00211791465712986 "demographics" FALSE
11815 "bat" "TSS" "sample_type" 0.00182372595925292 0.0208521557573873 "body_site" TRUE
11815 "bat" "GMPR" "sample_type" 5.95344728881098e-12 0.0976308474965575 "body_site" TRUE
11815 "bat" "CSS" "sample_type" 2.63381173480636e-14 0.118930291458415 "body_site" TRUE
11815 "bat" "TSS" "country" 7.17319394787951e-10 0.0723541283743314 "geo_loc" TRUE
11815 "bat" "GMPR" "country" 0.0457053752737084 0.00585600782207902 "geo_loc" TRUE
11815 "bat" "CSS" "country" 0.312281753790394 4.10972938808956e-05 "geo_loc" TRUE
11550 "diet" "TSS" "diet" 0.000534114061369292 0.0820345398542668 "food" TRUE
11550 "diet" "GMPR2" "diet" 0.0100579027286831 0.0419747195133698 "food" TRUE
11550 "diet" "CSS" "diet" 0.199945822285856 0.00479679181458946 "food" TRUE
11488 "cheese_rinds" "TSS" "continent" 0.000870637347749019 0.0280118229417389 "geo_loc" TRUE
11488 "cheese_rinds" "GMPR2" "continent" 0.0301493045458968 0.0102798854322903 "geo_loc" TRUE
11488 "cheese_rinds" "CSS" "continent" 0.0113866846380203 0.0150109678939828 "geo_loc" TRUE
11488 "cheese_rinds" "TSS" "pasteurized" 0.0364633289535132 0.00937584400151208 "food" TRUE
11488 "cheese_rinds" "GMPR2" "pasteurized" 0.000431702253579499 0.0316381319133105 "food" TRUE
11488 "cheese_rinds" "CSS" "pasteurized" 0.160038998423312 0.00270515988764638 "food" TRUE
11488 "cheese_rinds" "TSS" "animal" 0.14140847347672 0.00926867341511644 "" TRUE
11488 "cheese_rinds" "GMPR2" "animal" 0.0231674786261 0.0226628398797895 "" TRUE
11488 "cheese_rinds" "CSS" "animal" 0.0130627623713507 0.0266563785973796 "" TRUE
11488 "cheese_rinds" "TSS" "rindtype" 0.0077259457036442 0.0215218442479525 "" TRUE
11488 "cheese_rinds" "GMPR2" "rindtype" 9.04226080529816e-13 0.148923102934284 "" TRUE
11488 "cheese_rinds" "CSS" "rindtype" 3.32603145644555e-15 0.180150398643142 "" TRUE
11333 "monkey_infant" "TSS" "assigned_dietary_group" 0.452447309149247 -0.00752421940031499 "food" TRUE
11333 "monkey_infant" "GMPR2" "assigned_dietary_group" 0.0189392166188135 0.107873474664825 "food" TRUE
11333 "monkey_infant" "CSS" "assigned_dietary_group" 0.652843853644284 -0.0208575527336491 "food" TRUE
11333 "monkey_infant" "TSS" "diet" 0.463664535635245 -0.0084147646625726 "food" TRUE
11333 "monkey_infant" "GMPR2" "diet" 0.0059996151814608 0.149674907208513 "food" TRUE
11333 "monkey_infant" "CSS" "diet" 0.529013538898571 -0.0132094089428981 "food" TRUE
11333 "monkey_infant" "TSS" "age" 0.0277990224563099 0.113242665726593 "time" TRUE
11333 "monkey_infant" "GMPR2" "age" 0.0181924504496554 0.130451884630728 "time" TRUE
11333 "monkey_infant" "CSS" "age" 0.136168316165122 0.0470676821933396 "time" TRUE
11336 "multiple_sclerosis" "TSS" "geo_loc_name" 0.223078378479313 0.00949917003838626 "geo_loc" TRUE
11336 "multiple_sclerosis" "GMPR2" "geo_loc_name" 0.585378928460951 -0.0137721755368811 "geo_loc" TRUE
11336 "multiple_sclerosis" "CSS" "geo_loc_name" 0.636352000561361 -0.0152246083618635 "geo_loc" TRUE
11336 "multiple_sclerosis" "TSS" "disease_state" 0.453068877189799 -0.00856935366739302 "disease" TRUE
11336 "multiple_sclerosis" "GMPR2" "disease_state" 0.353400700810312 -0.00272140045101858 "disease" TRUE
11336 "multiple_sclerosis" "CSS" "disease_state" 0.722282962716212 -0.0171310629514968 "disease" TRUE
11336 "multiple_sclerosis" "TSS" "sex" 0.0869690886703978 0.0385919811320758 "demographics" TRUE
11336 "multiple_sclerosis" "GMPR2" "sex" 0.181735730263296 0.0156674528301892 "demographics" TRUE
11336 "multiple_sclerosis" "CSS" "sex" 0.101761823219417 0.0335542452830185 "demographics" TRUE
317 "hand bacteria" "TSS" "anatomical_body_site" 0.180009778155943 0.00565633568051708 "body_site" FALSE
317 "hand bacteria" "GMPR2" "anatomical_body_site" 0.940177381161712 -0.00705225503510566 "body_site" FALSE
317 "hand bacteria" "CSS" "anatomical_body_site" 0.472253080394585 -0.00342766466345569 "body_site" FALSE
317 "hand bacteria" "TSS" "sex" 0.351038025139517 -0.000753171894427615 "demographics" TRUE
317 "hand bacteria" "GMPR2" "sex" 0.13081369315187 0.00741515392515949 "demographics" TRUE
317 "hand bacteria" "CSS" "sex" 0.00174529956568022 0.0508659503967502 "demographics" TRUE
317 "hand bacteria" "TSS" "dominant_hand" 0.266963018770776 0.00168322840994989 "habit" TRUE
317 "hand bacteria" "GMPR2" "dominant_hand" 0.747686387025396 -0.00649648226551496 "habit" TRUE
317 "hand bacteria" "CSS" "dominant_hand" 0.405093985607492 -0.00222352879239742 "habit" TRUE
317 "hand bacteria" "TSS" "time_since_last_wash" 2.59413107338711e-07 0.178042923759905 "time" TRUE
317 "hand bacteria" "GMPR2" "time_since_last_wash" 1.39061457540554e-08 0.213183170433034 "time" TRUE
317 "hand bacteria" "CSS" "time_since_last_wash" 4.32384456696159e-08 0.199577166172437 "time" TRUE
213 "soil" "TSS" "carbon_substrate" 0.256999890747794 0.0236742424242422 "chemicals" TRUE
213 "soil" "GMPR2" "carbon_substrate" 0.0110254479326123 0.184852350030921 "chemicals" TRUE
213 "soil" "CSS" "carbon_substrate" 0.0269043017243599 0.140615337043908 "chemicals" TRUE
213 "soil" "TSS" "env_biome" 0.0846366615062239 0.0653061224489799 "geo_loc" TRUE
213 "soil" "GMPR2" "env_biome" 0.0467259014735348 0.0917091836734692 "geo_loc" TRUE
213 "soil" "CSS" "env_biome" 0.0268538269146076 0.116326530612245 "geo_loc" TRUE
0 "soil from Ulas" "TSS" "aggsize" 4.80506330660034e-10 0.521902985389359 "attribute" TRUE
